#,Tag_de_grupo,Tag_de_elemento,
0010,0010,
0008,0020,
0008,1030,
0010,0020,
0010,0030,
0010,0040,
0010,0200,
0008,0030,
0008,1120,
0010,0032,
0010,1000,
0008,1048,
0008,1049,
0008,1060,
0008,1062,
0032,1034,
#0008,1110,
#0008,1032,
0040,1012,
0028,0004,      
0008,0016,
#0008,0018,
0008,0021,
0008,0022,
0008,0023,
0008,0031,
0008,0032,
0008,0033,
0008,0040,
0008,0041,
0008,0050,
0008,0060,
0008,0070,
0008,0080,
0008,0081,
0008,0090,
0008,1010,
0008,1030,
0008,103E,
0018,1030,
0028,1052,
0018,1150,
0018,1170,
0028,0010,
0028,0011,
0018,9328,
0008,1050,
